dataset,feature_set,balancing,classifier,fold,accuracy,precision,recall,f1,auc,mcc
ant-1.3,RISK_FEATURES,BLSMOTE,LR,1,0.88,0.5714285714285714,1.0,0.7272727272727273,0.9464285714285715,0.6998542122237652
ant-1.3,RISK_FEATURES,BLSMOTE,LR,2,0.88,0.6,0.75,0.6666666666666666,0.7976190476190477,0.600099198148979
ant-1.3,RISK_FEATURES,BLSMOTE,LR,3,0.8,0.4,0.5,0.4444444444444444,0.6071428571428571,0.3273268353539886
ant-1.3,RISK_FEATURES,BLSMOTE,LR,4,0.68,0.3333333333333333,1.0,0.5,0.7916666666666667,0.45425676257949793
ant-1.3,RISK_FEATURES,BLSMOTE,LR,5,0.64,0.3076923076923077,1.0,0.47058823529411764,0.8154761904761905,0.4193139346887673
ant-1.3,RISK_FEATURES,BLSMOTE,RF,1,0.88,0.5714285714285714,1.0,0.7272727272727273,0.9285714285714285,0.6998542122237652
ant-1.3,RISK_FEATURES,BLSMOTE,RF,2,0.84,0.5,0.25,0.3333333333333333,0.7857142857142857,0.27348301713730944
ant-1.3,RISK_FEATURES,BLSMOTE,RF,3,0.8,0.4,0.5,0.4444444444444444,0.7023809523809524,0.3273268353539886
ant-1.3,RISK_FEATURES,BLSMOTE,RF,4,0.68,0.3,0.75,0.42857142857142855,0.7916666666666667,0.31180478223116176
ant-1.3,RISK_FEATURES,BLSMOTE,RF,5,0.68,0.3,0.75,0.42857142857142855,0.7797619047619048,0.31180478223116176
ant-1.3,RISK_FEATURES,BLSMOTE,ET,1,0.88,0.5714285714285714,1.0,0.7272727272727273,0.9404761904761905,0.6998542122237652
ant-1.3,RISK_FEATURES,BLSMOTE,ET,2,0.84,0.5,0.25,0.3333333333333333,0.5833333333333333,0.27348301713730944
ant-1.3,RISK_FEATURES,BLSMOTE,ET,3,0.8,0.4,0.5,0.4444444444444444,0.7321428571428572,0.3273268353539886
ant-1.3,RISK_FEATURES,BLSMOTE,ET,4,0.68,0.3,0.75,0.42857142857142855,0.8095238095238095,0.31180478223116176
ant-1.3,RISK_FEATURES,BLSMOTE,ET,5,0.72,0.2857142857142857,0.5,0.36363636363636365,0.7857142857142857,0.21384434262392824
ant-1.3,RISK_FEATURES,BLSMOTE,SVM_RBF,1,0.88,0.5714285714285714,1.0,0.7272727272727273,0.8928571428571428,0.6998542122237652
